run,elapsed_min,rhat_max,min_ess
run 1 (cold),7.6027,1.1316,7030
run 1 (cold),8.6577,1.1150,8508
run 1 (cold),9.7977,1.0435,12181
run 1 (cold),10.8443,1.0331,15883
run 1 (cold),11.9927,1.0229,20584
run 1 (cold),13.0577,1.0183,24750
run 1 (cold),14.2210,1.0178,28353
run 1 (cold),15.5960,1.0158,32889
run 1 (cold),17.1527,1.0160,22835
run 1 (cold),18.6077,1.0175,19716
run 1 (cold),20.1760,1.0150,22348
run 1 (cold),21.6410,1.0130,25333
run 1 (cold),23.2127,1.0109,28144
run 1 (cold),24.6793,1.0097,30777
run 2 (frozen flow),8.8907,1.1272,9100
run 2 (frozen flow),9.6473,1.1143,8319
run 2 (frozen flow),10.4040,1.0910,9903
run 2 (frozen flow),11.1607,1.0824,11278
run 2 (frozen flow),11.9240,1.0793,11879
run 2 (frozen flow),12.6823,1.0778,13567
run 2 (frozen flow),13.4523,1.0738,15205
run 2 (frozen flow),14.2223,1.0726,17408
run 2 (frozen flow),14.9923,1.0703,19064
run 2 (frozen flow),15.7623,1.0676,20639
run 2 (frozen flow),16.5490,1.0660,22780
run 2 (frozen flow),17.3273,1.0642,24613
run 2 (frozen flow),18.0973,1.0614,25707
run 2 (frozen flow),18.8640,1.0596,26286
run 2 (frozen flow),19.6373,1.0596,26583
run 2 (frozen flow),20.4073,1.0591,27512
run 2 (frozen flow),21.1807,1.0574,27855
run 2 (frozen flow),21.9490,1.0546,29058
run 2 (frozen flow),22.7323,1.0523,29796
run 2 (frozen flow),23.5007,1.0505,31221
run 2 (frozen flow),24.2657,1.0506,31793
run 3 (final),5.6708,1.1272,9100
run 3 (final),6.4258,1.1143,8319
run 3 (final),7.2692,1.0584,12039
run 3 (final),8.0258,1.0439,14872
run 3 (final),8.8758,1.0499,9299
run 3 (final),9.6342,1.0404,12828
run 3 (final),10.4925,1.0318,15980
run 3 (final),11.2608,1.0255,18033
run 3 (final),12.1225,1.0183,21641
run 3 (final),12.8925,1.0164,25411
run 3 (final),13.7592,1.0133,27163
run 3 (final),14.5442,1.0115,27311
run 3 (final),15.4025,1.0099,30626
